Title,Year,Age,IMDb,Rotten Tomatoes
Criminal: UK,2019,18+,7.6/10,65/100
Heist,2021,,6.8/10,65/100
The Bureau of Magical Things,2018,7+,6.7/10,65/100
Cleverman,2016,16+,6.4/10,65/100
The Innocent Man,2018,18+,7.3/10,65/100
Norsemen,2016,18+,7.8/10,65/100
Word of Honor,2021,,9.1/10,65/100
Pawn Stars,2009,7+,7.2/10,65/100
Inside Bill's Brain: Decoding Bill Gates,2019,16+,7.9/10,65/100
Damnation,2017,18+,7.7/10,65/100
From Dusk Till Dawn: The Series,2014,18+,6.9/10,64/100
Lovesick,2014,18+,8.1/10,64/100
Flint Town,2018,18+,7.9/10,64/100
Watership Down,2018,7+,7.2/10,64/100
Undercover,2019,18+,7.8/10,64/100
Rita,2012,16+,8.1/10,64/100
Dorohedoro,2020,18+,8.2/10,64/100
Maid Sama!,2010,16+,8.0/10,64/100
Mystery Science Theater 3000: The Return,2017,16+,8.0/10,64/100
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4/10,64/100
Surviving R. Kelly,2019,18+,7.5/10,64/100
Saint Seiya,1986,7+,8.5/10,64/100
Flaked,2016,18+,7.2/10,64/100
Fate/Zero,2011,18+,8.3/10,64/100
Crazyhead,2016,16+,7.3/10,64/100
The Five,2016,7+,7.6/10,64/100
Signal,2016,,8.6/10,64/100
H2O: Just Add Water,2006,all,7.2/10,64/100
Requiem,2018,18+,6.5/10,64/100
The Valhalla Murders,2019,18+,7.1/10,64/100
Cardcaptor Sakura,1998,7+,8.0/10,64/100
Black Earth Rising,2018,16+,7.5/10,64/100
W/ Bob & David,2015,18+,7.4/10,64/100
The Trials of Gabriel Fernandez,2020,18+,8.1/10,64/100
She's Gotta Have It,2017,18+,6.8/10,64/100
Save Me,2018,16+,7.7/10,64/100
Giri/Haji,2019,,7.9/10,64/100
The Curse of Oak Island,2014,7+,7.0/10,64/100
Black,2017,16+,8.0/10,63/100
Losers,2019,,7.7/10,63/100
Ajin,2016,18+,7.6/10,63/100
Ink Master,2012,16+,7.4/10,63/100
The Innocents,2018,,6.3/10,63/100
Goosebumps,1995,all,7.7/10,63/100
Vampire Knight,2008,16+,7.4/10,63/100
Angel Beats!,2010,16+,7.7/10,63/100
Green Eggs and Ham,2019,7+,8.2/10,63/100
The Hollow,2018,7+,7.2/10,63/100
Dogs,2018,all,8.1/10,63/100
November 13: Attack on Paris,2018,18+,8.3/10,63/100
It's Bruno!,2019,7+,7.5/10,63/100
Wanted,2016,16+,7.7/10,63/100
Masum,2017,16+,8.4/10,63/100
Cable Girls,2017,18+,7.6/10,63/100
Lady Dynamite,2016,16+,7.4/10,63/100
Power Rangers,1993,7+,6.5/10,63/100
The Mire,2018,18+,6.9/10,63/100
Tabula Rasa,2017,18+,8.0/10,63/100
Ethos,2020,,8.6/10,63/100
Clannad,2007,7+,7.9/10,63/100
Ugly Delicious,2018,18+,7.8/10,63/100
Generation 56k,2021,,7.4/10,63/100
Fate/stay night [Unlimited Blade Works],2014,18+,8.0/10,63/100
Man with a Plan,2016,7+,7.0/10,63/100
Rilakkuma and Kaoru,2019,7+,8.3/10,63/100
World War II In HD Colour,2009,7+,8.7/10,63/100
Boys Over Flowers,2009,16+,7.9/10,63/100
Meteor Garden,2018,16+,8.1/10,63/100
"What's New, Scooby-Doo?",2002,7+,7.3/10,63/100
The Letdown,2017,,7.5/10,63/100
Sick Note,2017,18+,6.8/10,63/100
Big Time Rush,2009,all,6.4/10,63/100
Girlboss,2017,18+,7.0/10,63/100
Quicksand,2019,18+,7.5/10,63/100
Rotten,2018,18+,7.2/10,63/100
The Irregulars,2021,18+,5.9/10,63/100
The Mantis,2017,,7.4/10,63/100
College Romance,2018,18+,8.8/10,63/100
Elite Short Stories: Carla Samuel,2021,18+,7.0/10,63/100
Bard of Blood,2019,18+,6.9/10,63/100
Charmed,2018,16+,4.6/10,62/100
The New Legends of Monkey,2018,7+,6.5/10,62/100
Nevertheless,2021,,7.6/10,62/100
"The Mind, Explained",2019,16+,8.0/10,62/100
Fast & Furious Spy Racers,2019,7+,5.5/10,62/100
Itaewon Class,2020,,8.2/10,62/100
Occupied,2015,16+,7.7/10,62/100
The Magic School Bus,1994,all,7.8/10,62/100
Toast of London,2013,16+,8.2/10,62/100
Patriot Act with Hasan Minhaj,2018,18+,8.3/10,62/100
Greatest Events of World War II in Colour,2019,16+,8.7/10,62/100
Offspring,2010,16+,8.3/10,62/100
Blown Away,2019,7+,7.1/10,62/100
60 Days In,2016,16+,7.7/10,62/100
Trese,2021,18+,7.1/10,62/100
Move to Heaven,2021,,8.7/10,62/100
Hot Girls Wanted: Turned On,2017,18+,6.6/10,62/100
The Heirs,2013,16+,7.5/10,62/100
The Curious Creations of Christine McConnell,2018,7+,7.8/10,62/100
Alexa & Katie,2018,all,7.5/10,62/100
Sailor Moon Crystal,2014,16+,8.0/10,62/100
Blood of Zeus,2020,,7.5/10,62/100
La Reina del Sur,2011,18+,8.0/10,62/100
Barbarians,2020,,7.2/10,62/100
Pine Gap,2018,16+,7.2/10,62/100
To the Lake,2019,,7.3/10,62/100
Suburra: Blood on Rome,2017,18+,7.9/10,62/100
Taco Chronicles,2019,18+,7.9/10,62/100
She,2020,18+,6.5/10,62/100
Between,2015,16+,6.0/10,62/100
Velvet,2014,16+,8.1/10,62/100
Bobby Kennedy for President,2018,16+,8.2/10,62/100
Durarara!!,2010,16+,7.9/10,62/100
Yu-Gi-Oh!,1998,,7.9/10,62/100
Hostages,2013,16+,6.7/10,62/100
Rhythm + Flow,2019,18+,7.7/10,62/100
Blue Exorcist,2011,16+,7.4/10,62/100
L.A.'s Finest,2019,16+,6.0/10,62/100
Vagabond,2019,,8.3/10,62/100
Thomas & Friends,1984,all,6.6/10,62/100
The Protector,2018,18+,6.7/10,61/100
Unsolved Mysteries,1987,7+,8.2/10,61/100
Too Hot to Handle,2020,18+,4.6/10,61/100
AJ and the Queen,2020,,7.5/10,61/100
Are You The One?,2014,16+,6.5/10,61/100
Little Things,2016,18+,8.3/10,61/100
Still Game,2002,16+,8.8/10,61/100
Transformers: Prime,2010,7+,7.9/10,61/100
Henry Danger,2014,all,5.7/10,61/100
Tidying Up with Marie Kondo,2019,7+,6.6/10,61/100
Nightflyers,2018,18+,5.9/10,61/100
