Title,Year,Age,IMDb,Rotten Tomatoes
Cake Boss,2009,7+,6.6/10,56/100
Tyler Perry's If Loving You Is Wrong,2014,16+,5.8/10,56/100
Plastic Memories,2015,16+,7.4/10,56/100
Love It or List It,2008,all,6.3/10,56/100
Dragnet,1967,7+,7.5/10,56/100
"Say ""I Love You.""",2012,16+,7.4/10,56/100
Rev.,2010,16+,7.9/10,56/100
Axe Cop,2013,18+,7.4/10,56/100
The Secret Life of the American Teenager,2008,16+,5.0/10,55/100
Extreme Ghostbusters,1997,7+,6.9/10,55/100
OK K.O.! Let's Be Heroes,2017,7+,7.0/10,55/100
頭文字D First Stage,1998,7+,8.4/10,55/100
The Firm,2012,16+,7.1/10,55/100
The Titan Games,2019,all,7.0/10,55/100
Attack on Titan: Junior High,2015,16+,7.1/10,55/100
To Love-Ru,2008,18+,6.9/10,55/100
Rosario + Vampire,2008,18+,7.0/10,55/100
All Saints,1998,16+,7.1/10,55/100
Fast N' Loud,2012,16+,7.5/10,55/100
Upper Middle Bogan,2013,16+,7.9/10,55/100
Toilet-Bound Hanako-kun,2020,16+,7.6/10,55/100
Barbarians Rising,2016,18+,7.8/10,55/100
Prey,2014,,7.2/10,55/100
Silk Stalkings,1991,16+,6.6/10,55/100
Match Game,1973,7+,8.3/10,55/100
The Most Dangerous Animal of All,2020,16+,6.3/10,55/100
Arifureta: From Commonplace to World's Strongest,2019,16+,7.0/10,55/100
Renegade,1992,16+,6.0/10,55/100
Disappeared,2009,7+,8.0/10,55/100
My Favorite Martian,1963,all,7.3/10,55/100
Wise Man’s Grandchild,2019,16+,6.8/10,55/100
The Slap,2015,16+,7.6/10,55/100
Daniel Deronda,2002,,7.2/10,55/100
90 Day Fiancé: Before the 90 Days,2017,16+,6.8/10,55/100
Love Thy Neighbor,2013,7+,4.4/10,55/100
Infinite Stratos,2011,18+,6.7/10,55/100
A Certain Scientific Railgun,2009,16+,7.6/10,55/100
Taggart,1983,18+,7.3/10,55/100
Call Me Kat,2021,7+,5.0/10,55/100
My Love Story!!,2015,16+,7.8/10,55/100
Digimon Adventure:,2020,all,7.4/10,55/100
City Homicide,2007,16+,7.5/10,55/100
The Lucy Show,1962,7+,7.2/10,55/100
Bering Sea Gold,2012,all,6.6/10,55/100
Dog with a Blog,2012,all,4.9/10,55/100
Beyond Scared Straight,2011,18+,7.3/10,55/100
Deutschland 89,2020,,7.8/10,55/100
The Smile Has Left Your Eyes,2018,all,7.7/10,55/100
Bakuman。,2010,16+,8.0/10,55/100
Castaways,2018,7+,6.4/10,55/100
Iron Chef America,2005,all,7.1/10,54/100
Your Pretty Face Is Going to Hell,2013,18+,7.7/10,54/100
Jersey Shore,2009,16+,3.6/10,54/100
Tim and Eric's Bedtime Stories,2014,18+,7.8/10,54/100
ID: INVADED,2020,18+,7.7/10,54/100
Undercover Boss,2010,7+,5.8/10,54/100
Sex&Drugs&Rock&Roll,2015,16+,7.1/10,54/100
Vanished,2006,18+,7.0/10,54/100
Skin Wars,2014,16+,7.1/10,54/100
Hollywood Game Night,2013,7+,7.2/10,54/100
A Christmas Carol,2019,18+,7.2/10,54/100
Black Narcissus,2020,18+,5.8/10,54/100
Pramface,2012,16+,7.5/10,54/100
Buzzfeed Unsolved - Supernatural,2016,,8.7/10,54/100
The Lowe Files,2017,7+,6.9/10,54/100
When the Weather is Fine,2020,,7.9/10,54/100
Kämpfer,2009,18+,6.2/10,54/100
City So Real,2020,16+,7.5/10,54/100
American Idol,2002,7+,4.1/10,54/100
Lincoln Heights,2007,7+,7.8/10,54/100
Some Girls,2012,16+,7.7/10,54/100
The Asterisk War,2015,16+,6.9/10,54/100
The Housewife and the Hustler,2021,,6.4/10,54/100
Nura: Rise of the Yokai Clan,2010,16+,7.6/10,54/100
Find Me in Paris,2018,all,7.2/10,54/100
Devils' Line,2018,18+,6.9/10,54/100
Wander Over Yonder,2013,7+,7.2/10,54/100
The Qwaser of Stigmata,2010,18+,5.6/10,54/100
Trust Me,2017,,7.0/10,54/100
Dream Corp LLC,2016,16+,7.2/10,54/100
Top Gear,2010,7+,5.4/10,54/100
Swamp People,2010,7+,6.2/10,54/100
Still 17,2018,,7.9/10,54/100
Kiri,2018,,6.7/10,54/100
Baghdad Central,2020,,7.3/10,54/100
Haganai: I Don't Have Many Friends,2011,18+,7.1/10,54/100
Coupling,2000,7+,3.6/10,53/100
Witchblade,2006,18+,7.1/10,53/100
The Bachelor,2002,16+,3.2/10,53/100
Just Between Lovers,2017,,8.1/10,53/100
Doc McStuffins,2012,all,6.6/10,53/100
The Sister,2020,,5.7/10,53/100
To Tell the Truth,2016,7+,6.2/10,53/100
Bachelor in Paradise,2014,16+,5.2/10,53/100
Hikaru no Go,2001,all,8.3/10,53/100
Everyone Is Doing Great,2021,,7.7/10,53/100
Bring It!,2014,7+,6.7/10,53/100
Criminal Justice,2008,,7.7/10,53/100
Street Outlaws,2013,7+,6.7/10,53/100
Zomboat!,2019,,7.0/10,53/100
Accel World,2012,16+,7.1/10,53/100
Beat Shazam,2017,16+,6.0/10,53/100
Eden of the East,2009,18+,7.6/10,53/100
Saints & Sinners,2016,16+,7.4/10,53/100
America's Most Wanted,1988,7+,7.3/10,53/100
Seed,2013,18+,5.6/10,53/100
"I Love You, America",2017,18+,5.7/10,53/100
Young Hercules,1998,7+,5.8/10,53/100
The Commish,1991,16+,7.1/10,53/100
Vanderpump Rules,2013,16+,5.4/10,53/100
Zeke and Luther,2009,7+,6.4/10,53/100
Oreimo,2010,16+,6.4/10,53/100
Treehouse Masters,2013,7+,7.3/10,53/100
The Real Housewives of Atlanta,2008,16+,4.4/10,53/100
Bedlam,2011,16+,6.6/10,53/100
Slayers,1995,7+,7.5/10,53/100
The Gong Show,1976,7+,6.9/10,53/100
James May's Man Lab,2010,,7.8/10,53/100
Mr. D,2012,,6.6/10,53/100
Kick Buttowski: Suburban Daredevil,2010,7+,6.6/10,53/100
The Real Housewives of Potomac,2016,16+,4.8/10,53/100
"Good Morning, Miss Bliss",1988,all,6.8/10,53/100
Astra Lost in Space,2019,16+,8.1/10,53/100
Nurses,2020,7+,5.7/10,52/100
Dragon Quest: The Adventure of Dai,2020,,8.2/10,52/100
Feed the Beast,2016,16+,6.7/10,52/100
A Wilderness of Error,2020,18+,6.5/10,52/100
Devil May Care,2021,18+,6.0/10,52/100
Handy Manny,2006,all,5.6/10,52/100
Deca-Dence,2020,16+,7.0/10,52/100
Love Island Australia,2018,18+,5.5/10,52/100
The Circus,2016,16+,7.0/10,52/100
WWE NXT,2010,7+,7.8/10,52/100
Ruyi's Royal Love in the Palace,2018,,7.6/10,52/100
Trafficked with Mariana van Zeller,2020,16+,8.4/10,52/100
Hillary,2020,7+,6.5/10,52/100
La Patrona,2013,16+,7.2/10,52/100
Maison close,2010,18+,6.6/10,52/100
Shahs of Sunset,2012,16+,4.7/10,52/100
Tanked,2011,7+,6.6/10,52/100
Little Women: LA,2014,16+,5.6/10,52/100
Quick Draw,2013,16+,7.7/10,52/100
Food Network Star,2005,7+,6.2/10,52/100
Three Sheets,2006,18+,8.2/10,52/100
F*ck That's Delicious,2016,18+,8.0/10,52/100
Blood-C,2011,18+,6.3/10,52/100
Unusual Suspects,2010,16+,7.6/10,52/100
Food Paradise,2007,all,8.1/10,51/100
Black Jesus,2014,18+,6.9/10,51/100
The Dick Cavett Show,1968,,8.4/10,51/100
ItaKiss,2008,16+,7.4/10,51/100
Monsterland,2020,,5.5/10,51/100
The Aliens,2016,7+,6.1/10,51/100
Webster,1983,all,5.7/10,51/100
Getting On,2009,16+,8.1/10,51/100
Kono Oto Tomare!: Sounds of Life,2019,7+,8.0/10,51/100
Dante's Cove,2005,18+,5.9/10,51/100
Freakish,2016,16+,6.3/10,51/100
Chuggington,2008,all,5.9/10,51/100
The Hills,2006,7+,3.6/10,51/100
The Awesomes,2013,16+,7.3/10,51/100
Plunderer,2020,16+,6.4/10,51/100
Yu-Gi-Oh! 5D's,2008,13+,6.8/10,51/100
Too Cute,2011,7+,8.5/10,51/100
Hollyoaks,1995,16+,4.7/10,51/100
Absolute Duo,2015,18+,6.4/10,51/100
Total Divas,2013,16+,6.5/10,51/100
What Would You Do?,2008,7+,7.2/10,51/100
Born This Way,2015,7+,8.5/10,51/100
The Menendez Murders: Erik Tells All,2017,,7.5/10,51/100
Late Night with Seth Meyers,2014,16+,6.1/10,51/100
Is This a Zombie?,2011,18+,7.1/10,51/100
Flavor of Love,2006,16+,4.5/10,51/100
Momma Named Me Sheriff,2019,18+,6.1/10,51/100
Hunderby,2012,16+,7.5/10,51/100
World of Dance,2017,7+,7.2/10,51/100
Gap Year,2017,,7.0/10,51/100
The Driver,2014,16+,7.0/10,51/100
In My Skin,2020,16+,7.6/10,51/100
Rin-ne,2015,16+,6.6/10,51/100
Cults and Extreme Belief,2018,16+,7.6/10,51/100
Napoleon Dynamite,2012,7+,6.4/10,51/100
Man Up!,2011,7+,6.6/10,51/100
Butterfly,2018,,6.4/10,51/100
Worth It,2016,,8.6/10,51/100
Blood Lad,2013,16+,7.1/10,51/100
The F Word,2005,18+,6.9/10,50/100
Siblings,2014,,7.1/10,50/100
Law & Order True Crime,2017,16+,7.4/10,50/100
"The $100,000 Pyramid",2016,16+,6.2/10,50/100
Stars Align,2019,16+,7.2/10,50/100
Blast of Tempest,2012,16+,7.6/10,50/100
Ask This Old House,2002,all,7.8/10,50/100
East Los High,2013,16+,7.1/10,50/100
Sister Wives,2010,16+,4.4/10,50/100
Place to Place,2012,7+,6.7/10,50/100
The New Detectives,1996,7+,7.8/10,50/100
Who The (Bleep) Did I Marry?,2010,7+,6.7/10,50/100
Crossing Swords,2020,18+,6.6/10,50/100
Baka and Test: Summon the Beasts,2010,7+,7.3/10,50/100
Marido en Alquiler,2013,,8.3/10,50/100
Boy Band,2017,,5.6/10,50/100
Threesome,2011,18+,7.6/10,50/100
Maken-Ki! Battling Venus,2011,18+,6.1/10,50/100
Sherman's Showcase,2019,18+,6.4/10,50/100
Yashahime: Princess Half-Demon,2020,16+,7.2/10,50/100
Outbreak Company,2013,16+,6.8/10,50/100
Marriage Boot Camp: Reality Stars,2014,16+,4.7/10,50/100
Dagashi Kashi,2016,16+,6.2/10,50/100
Fashion House,2006,18+,6.4/10,50/100
Southern Gothic,2020,,7.0/10,50/100
I Am Frankie,2017,all,6.2/10,50/100
Our Cartoon President,2018,16+,5.1/10,50/100
Marrying Millions,2019,,5.0/10,49/100
Our Last Crusade or the Rise of a New World,2020,16+,6.4/10,49/100
The Furchester Hotel,2014,all,7.2/10,49/100
Little Mosque on the Prairie,2007,7+,5.7/10,49/100
The Wallflower,2006,16+,7.4/10,49/100
The Real Housewives of Orange County,2006,16+,4.1/10,49/100
Married to Medicine,2013,16+,5.2/10,49/100
The Real Housewives of New Jersey,2009,16+,4.0/10,49/100
Cold Squad,1998,16+,7.0/10,49/100
The Murder of Laci Peterson,2017,16+,7.4/10,49/100
Uta no Prince-sama,2011,16+,6.7/10,49/100
Alone: The Beast,2020,7+,5.8/10,49/100
Stacked,2005,7+,6.0/10,49/100
Caillou,1998,all,4.0/10,49/100
Snake City,2014,16+,8.6/10,49/100
StarTalk with Neil deGrasse Tyson,2015,all,7.8/10,49/100
Wasted,2016,18+,7.4/10,49/100
Astro Boy,1980,all,7.3/10,49/100
Total Wipeout,2009,,6.0/10,49/100
Hetalia,2009,18+,7.4/10,49/100
Air Gear,2006,18+,7.2/10,49/100
Press Your Luck,2019,7+,6.1/10,49/100
BLUE DRAGON,2007,,6.4/10,49/100
恋と選挙とチョコレート,2012,18+,6.6/10,49/100
Black Blood Brothers,2006,16+,7.1/10,49/100
Below the Surface,2017,,7.2/10,49/100
Arliss,1996,,7.0/10,49/100
The Gumby Show,1955,all,7.0/10,48/100
Are You Smarter Than a 5th Grader?,2007,7+,4.9/10,48/100
Maxxx,2020,,6.4/10,48/100
Jeopardy! The Greatest of All Time,2020,7+,8.7/10,48/100
The Strange Calls,2012,18+,7.4/10,48/100
Victoria's Secret Fashion Show,1999,18+,8.1/10,48/100
Flavor of Love Girls: Charm School,2007,,5.9/10,48/100
Card Sharks,2019,7+,5.2/10,48/100
America: Our Defining Hours,2020,,,48/100
The Killer Speaks,2013,16+,7.4/10,48/100
Nutri Ventures – The Quest for the 7 Kingdoms,2013,all,7.8/10,48/100
Call Your Mother,2021,7+,5.2/10,48/100
Lincoln: Divided We Stand,2021,,7.6/10,48/100
Toopy and Binoo,2005,all,6.9/10,48/100
Miz & Mrs,2018,16+,6.4/10,48/100
The Loop,2006,16+,7.4/10,48/100
Weakest Link,2001,7+,5.4/10,48/100
Property Brothers: Buying and Selling,2012,all,7.1/10,48/100
Breaking Amish,2012,16+,5.0/10,48/100
Cleopatra in Space,2020,all,6.8/10,48/100
Mental Samurai,2019,7+,6.0/10,48/100
The Adventures of Paddington Bear,1997,all,7.1/10,48/100
A Very Brady Renovation,2019,,8.1/10,48/100
Saved by the Bell: The College Years,1993,7+,6.3/10,48/100
"Demon Lord, Retry!",2019,16+,6.8/10,48/100
Don't,2020,16+,5.8/10,48/100
Uncle Grandpa,2013,7+,4.3/10,48/100
Behind Bars: Rookie Year,2015,16+,7.8/10,48/100
Black Cat,2005,7+,7.1/10,48/100
Metástasis,2014,16+,2.3/10,48/100
Lucas Bros Moving Co,2013,18+,7.0/10,48/100
Total Bellas,2016,16+,5.8/10,48/100
Aria the Scarlet Ammo,2011,16+,6.7/10,48/100
Chopped Junior,2015,,6.4/10,48/100
Heartstrings,2011,16+,7.2/10,47/100
Dancing with the Stars,2005,7+,4.5/10,47/100
The Other Guy,2017,18+,6.9/10,47/100
The Kennedys,2015,7+,7.3/10,47/100
Holiday Baking Championship,2014,all,7.4/10,47/100
Capital One College Bowl,2021,,5.4/10,47/100
Love & Hip Hop Hollywood,2014,16+,5.1/10,47/100
Corpse Princess,2008,7+,6.9/10,47/100
The Wall,2016,7+,5.9/10,47/100
Divorce Court,1999,16+,4.2/10,47/100
Unikitty!,2017,7+,5.6/10,47/100
Sheriff Callie's Wild West,2013,all,6.5/10,47/100
Miles from Tomorrowland,2015,all,6.6/10,47/100
Caribbean Life,2014,all,6.9/10,47/100
Psychic Detective Yakumo,2010,16+,6.7/10,47/100
Monster Rancher,1999,7+,7.1/10,47/100
Big Windup!,2007,7+,7.7/10,47/100
Duenos Del Paraiso,2015,16+,6.9/10,47/100
To Catch a Smuggler,2012,7+,7.0/10,47/100
Fugget About It,2012,18+,6.0/10,47/100
Yu-Gi-Oh! Arc-V,2014,7+,6.3/10,47/100
Bong Appétit,2016,16+,8.0/10,47/100
Nosotros los Guapos,2016,13+,5.9/10,47/100
Max Steel,2000,7+,6.3/10,47/100
"Golan, The Insatiable",2013,16+,6.9/10,47/100
Dead Boss,2012,,6.5/10,46/100
Pinky Dinky Doo,2006,all,6.4/10,46/100
No Guns Life,2019,16+,6.8/10,46/100
The Munsters Today,1988,,5.2/10,46/100
The First 48 Presents: Homicide Squad Atlanta,2019,16+,8.3/10,46/100
Hello Kitty's Furry Tale Theater,1987,all,6.4/10,46/100
Ladhood,2019,,7.2/10,46/100
Space Brothers,2012,16+,8.1/10,46/100
Little Women: Atlanta,2016,16+,5.2/10,46/100
Arte,2020,16+,7.0/10,46/100
"Ready, Steady, Wiggle!",2013,all,7.8/10,46/100
The Hotwives of Orlando,2014,16+,7.5/10,46/100
"Ruff-Ruff, Tweet and Dave",2015,all,7.6/10,46/100
Yu-Gi-Oh! Zexal,2011,7+,5.0/10,46/100
Breadwinners,2005,7+,2.5/10,46/100
Soul Eater Not!,2014,16+,5.7/10,46/100
The Only Way Is Essex,2010,16+,3.1/10,46/100
Living With Fran,2005,,5.9/10,46/100
Mythbusters Jr.,2019,7+,6.9/10,46/100
Cake,2019,18+,6.2/10,46/100
Major Lazer,2015,18+,7.6/10,46/100
NASA's Unexplained Files,2012,all,6.6/10,46/100
Brothers Conflict,2013,16+,6.1/10,46/100
Astroblast!,2014,all,6.6/10,46/100
Rosa Diamante,2012,,8.3/10,46/100
Urara Meirocho,2017,16+,7.4/10,46/100
Hakumei and Mikochi,2018,16+,7.4/10,46/100
Crimes of the Century,2013,,7.1/10,46/100
Undefeated Bahamut Chronicle,2016,,6.5/10,45/100
The New Adventures of Figaro Pho,2015,all,7.3/10,45/100
When Nature Calls with Helen Mirren,2021,7+,3.4/10,45/100
Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,2019,16+,7.4/10,45/100
Tiny House Hunters,2014,all,6.2/10,45/100
Bleak House,1985,,7.6/10,45/100
Hip Hop Uncovered,2021,,7.4/10,45/100
More Than Friends,2020,,6.7/10,45/100
Street Outlaws: Memphis,2018,16+,6.6/10,45/100
Part of Me,2014,16+,8.4/10,45/100
LEGO Friends,2012,all,6.3/10,45/100
Flea Market Flip,2012,all,6.7/10,45/100
Rock the Block,2019,all,6.7/10,45/100
Appare-Ranman!,2020,16+,6.9/10,45/100
Kids Behind Bars: Life or Parole,2019,,7.2/10,45/100
The Case That Haunts Me,2018,16+,7.7/10,45/100
Senryu Girl,2019,7+,7.0/10,45/100
Alguien Te Mira,2010,7+,7.4/10,45/100
All Night,2018,16+,5.9/10,45/100
El Clon,2000,,6.8/10,45/100
1969,2019,,7.0/10,45/100
Long Island Medium,2011,7+,4.8/10,45/100
Buddy Complex,2013,,7.3/10,45/100
Kaleido Star,2003,16+,7.8/10,45/100
.hack,2002,7+,6.9/10,45/100
The Tower of Druaga: The Aegis of Uruk,2008,7+,6.7/10,45/100
Indebted,2020,,4.5/10,45/100
Psychic Kids,2008,16+,6.3/10,45/100
Stone Quackers,2014,18+,6.8/10,45/100
Wicked Tuna: Outer Banks,2014,16+,6.2/10,45/100
Genius Junior,2018,all,7.6/10,45/100
I Love Jenni,2011,7+,8.3/10,45/100
Bloque de Búsqueda,2016,,7.9/10,45/100
VanDread,2000,16+,7.1/10,45/100
Broken Angel,2013,16+,7.0/10,45/100
Trolls: TrollsTopia,2020,7+,7.1/10,45/100
Blippi,2014,all,7.5/10,45/100
Jann,2019,,7.1/10,44/100
The Boonies,2016,,7.3/10,44/100
Britain's Best Home Cook,2018,,7.9/10,44/100
Cardfight!! Vanguard,2011,16+,7.2/10,44/100
Mrs. Piggle-Wiggle,1994,all,7.1/10,44/100
Spoilers,2012,,6.9/10,44/100
S·A特优生,2008,16+,7.3/10,44/100
"Pinky, Elmyra & the Brain",1998,,5.8/10,44/100
The Millionaire Matchmaker,2008,7+,4.6/10,44/100
Azur Lane,2019,16+,6.0/10,44/100
WWE Main Event,2012,7+,6.4/10,44/100
House Hunters Renovation,2012,all,6.4/10,44/100
The Dude Perfect Show,2016,7+,6.7/10,44/100
Endlings,2020,7+,4.8/10,44/100
Celebrity Wheel of Fortune,2021,7+,7.3/10,44/100
The Chew,2011,7+,5.3/10,44/100
The Show Must Go On: The Queen + Adam Lambert Story,2019,,7.8/10,44/100
Return to Downton Abbey: A Grand Event,2019,,6.5/10,44/100
D.Gray-man Hallow,2016,16+,7.6/10,44/100
Ellen's Game of Games,2017,7+,4.9/10,44/100
Nina's World,2015,all,6.0/10,44/100
Charlie Rose,1991,all,7.5/10,44/100
Love in the Time of Corona,2020,16+,5.7/10,44/100
El Fantasma de Elena,2010,16+,7.4/10,43/100
Holly Hobbie,2018,7+,6.5/10,43/100
Eater's Guide to the World,2020,,6.8/10,43/100
Samurai Harem,2009,18+,6.0/10,43/100
Negima!,2005,7+,6.2/10,43/100
Australia's Next Top Model,2005,,6.2/10,43/100
Love Connection,2017,16+,,43/100
Forged in Fire: Beat the Judges,2020,7+,8.6/10,43/100
Spring Baking Championship,2015,all,6.9/10,43/100
Big Block SingSong,2012,all,,43/100
Nabari no Ou,2008,16+,6.5/10,43/100
Name That Tune,2021,7+,4.9/10,43/100
Littlekenny,2019,,6.9/10,43/100
My Super Sweet 16,2005,7+,1.8/10,43/100
Deadly Wives,2013,,8.4/10,43/100
Kendra on Top,2012,7+,3.6/10,43/100
I Can See Your Voice,2020,7+,5.7/10,43/100
The Con,2020,,7.3/10,43/100
Battleground,2012,,7.8/10,43/100
Hitler's Last Stand,2018,16+,6.4/10,43/100
Nightline,1980,7+,5.7/10,43/100
Special Forces,2012,,9.0/10,43/100
Juana la virgen,2002,,6.1/10,42/100
Lost Gold of World War II,2019,7+,6.5/10,42/100
Hayate the Combat Butler,2007,,6.9/10,42/100
"Underworld, Inc.",2015,16+,7.1/10,42/100
When Sharks Attack,2013,16+,6.6/10,42/100
High School USA!,2013,18+,6.4/10,42/100
Pooch Perfect,2021,7+,3.7/10,42/100
El Mariachi,2014,,8.0/10,42/100
The Mighty Ones,2020,7+,7.5/10,42/100
Garo: The Animation,2014,all,6.7/10,42/100
Arms Alchemy,2006,18+,6.9/10,42/100
Who Killed Jeffrey Epstein?,2020,,6.3/10,42/100
Where's Waldo?,2020,all,7.5/10,42/100
Mad Mad House,2004,,7.1/10,42/100
Abandoned,2012,,,42/100
Blade Dance of Elementalers,2014,16+,6.7/10,42/100
Zou,2012,,6.9/10,42/100
Toddlers & Tiaras,2009,7+,1.8/10,42/100
Dead By Dawn,2019,,7.2/10,42/100
Girls Beyond the Wasteland,2016,,5.5/10,42/100
Gordon Ramsay's Home Cooking,2013,,8.4/10,42/100
60 Days In: Narcoland,2019,16+,5.9/10,42/100
Basilisk,2005,18+,4.8/10,42/100
Tree Fu Tom,2012,all,5.6/10,42/100
Runaways,2012,16+,7.9/10,42/100
The Impostor,2014,,7.6/10,42/100
Madagascar: A Little Wild,2020,all,5.7/10,42/100
NY-LON,2004,18+,7.4/10,42/100
WTF Baron Davis,2019,18+,8.1/10,42/100
Ancient Top 10,2016,16+,7.8/10,42/100
I Am Cait,2015,16+,3.4/10,42/100
Pickle & Peanut,2015,7+,4.3/10,41/100
Infinite Dendrogram,2020,16+,5.8/10,41/100
Jamie's Quick & Easy Food,2017,all,8.4/10,41/100
Aquarion,2005,18+,6.5/10,41/100
Inside the NFL,1977,7+,6.9/10,41/100
Gensomaden Saiyuki,2000,16+,7.4/10,41/100
Swiss Family Robinson,1974,7+,7.0/10,41/100
The Toe Bro,2019,16+,7.9/10,41/100
Anyone But Me,2009,16+,7.2/10,41/100
The Dating Guy,2009,18+,3.5/10,41/100
Celebs Go Dating,2016,18+,5.6/10,41/100
Planet Sheen,2010,7+,3.0/10,41/100
College Hill,2004,,5.5/10,41/100
To LOVEる -とらぶる- ダークネス2nd,2012,16+,7.2/10,41/100
Good Morning America,1975,all,4.5/10,41/100
Who Wants to Be a Millionaire,2020,16+,6.1/10,41/100
Joe and Jack,2012,all,4.5/10,41/100
Kidô senshi Gandamu: The Origin I - Aoi hitomi no kyasubaru,2015,,7.6/10,40/100
The Young Turks,2005,16+,5.3/10,40/100
Home Free,2015,all,7.2/10,40/100
Paradise Run,2016,all,6.1/10,40/100
Murder on the Internet,2017,,6.7/10,40/100
A3!,2020,16+,6.5/10,40/100
Game of Talents,2021,,4.6/10,40/100
Jack Hanna's Into the Wild,2007,,8.0/10,40/100
How It Works,2007,all,8.3/10,40/100
ClassicaLoid,2016,16+,6.4/10,40/100
Kings of Pain,2019,16+,6.7/10,40/100
The View,1997,16+,2.6/10,40/100
The Celebrity Dating Game,2021,,2.6/10,40/100
Rurangi,2020,,7.1/10,40/100
American Greed: The Fugitives,2012,,8.3/10,40/100
Mighty Magiswords,2015,7+,4.9/10,40/100
The Paynes,2018,,4.9/10,40/100
Basketball Wives LA,2011,7+,4.2/10,40/100
Forensic Factor,2003,18+,7.3/10,40/100
The Weekly,2019,18+,6.6/10,40/100
Connecting...,2020,7+,5.1/10,40/100
Atlas Of Cursed Places,2020,,5.2/10,40/100
The School That Tried to End Racism,2020,,,40/100
Jim Henson Presents Mother Goose Stories,1990,all,8.3/10,40/100
Side Effects,2013,,7.4/10,39/100
Rock of Love with Bret Michaels,2007,18+,4.8/10,39/100
Bajo el Mismo Cielo,2015,16+,8.0/10,39/100
American Scandals,2015,,8.3/10,39/100
Eva La Trailera,2017,16+,7.3/10,39/100
Born Behind Bars,2017,16+,8.1/10,39/100
Torn from the Headlines: The New York Post Reports,2020,,7.1/10,39/100
Seven Year Switch,2015,16+,5.3/10,39/100
Dog love,2010,7+,6.6/10,39/100
The Hotwives of Las Vegas,2015,,6.6/10,39/100
The Happy Days of Garry Marshall,2020,,8.3/10,39/100
Driven,2020,16+,7.4/10,39/100
Hungry Henry,2014,,9.3/10,39/100
Mother Up!,2013,16+,4.6/10,39/100
Smile Down the Runway,2020,,6.8/10,39/100
A Day in the Life,2011,,5.9/10,39/100
Close Up with The Hollywood Reporter,2015,16+,7.0/10,39/100
Special 7: Special Crime Investigation Unit,2019,,6.4/10,39/100
205 Live,2016,7+,7.1/10,39/100
Greta Thunberg: A Year to Change the World,2021,,4.6/10,39/100
Many Sides of Jane,2019,16+,6.1/10,39/100
The Riveras,2016,7+,7.6/10,39/100
Steve Harvey's Funderdome,2017,7+,7.3/10,39/100
Cherries Wild,2021,,3.6/10,39/100
"Oh Jerome, No",2019,,8.0/10,39/100
The Last Days of Phil Hartman,2019,,7.8/10,39/100
Afterlost,2019,,5.2/10,39/100
VICE Investigates,2019,18+,6.8/10,39/100
Struggle Meals,2017,,,38/100
Zorro the Chronicles,2015,all,7.3/10,38/100
Truth & Iliza,2017,7+,5.5/10,38/100
Life of Kylie,2017,16+,3.5/10,38/100
WWE Superstars,2009,7+,5.8/10,38/100
Worst Bakers in America,2016,,5.9/10,38/100
Showtime at the Apollo,1987,all,6.0/10,38/100
Nightcap,2016,7+,5.0/10,38/100
After School Dice Club,2019,16+,6.6/10,38/100
Up to Speed,2012,16+,6.5/10,38/100
Spartan: Ultimate Team Challenge,2016,7+,5.9/10,38/100
The Wildlife Docs,2013,all,8.0/10,38/100
Behind Closed Doors,2011,16+,7.2/10,38/100
Open Door,2019,,6.5/10,38/100
Dot.,2016,all,7.1/10,38/100
Dead Again,2014,,7.4/10,38/100
Supernoobs,2015,7+,3.6/10,38/100
Phenoms,2018,7+,7.4/10,38/100
The Burger Show,2018,,7.7/10,38/100
Anderson Cooper 360°,2003,,4.9/10,38/100
The Proposal,2018,,1.9/10,38/100
Behind the Mask,2013,,7.4/10,38/100
Bloomberg Game Changers,2010,,7.8/10,38/100
Glam Masters,2018,,4.5/10,38/100
Sorcerous Stabber Orphen,2020,16+,5.7/10,37/100
Future-Worm!,2016,7+,5.2/10,37/100
Get Ace,2014,all,7.5/10,37/100
The Masked Dancer,2020,7+,4.1/10,37/100
This Week,1981,7+,5.2/10,37/100
BEM,2019,16+,6.0/10,37/100
Mix: Meisei Story,2019,7+,7.5/10,37/100
Dreamland,2014,,5.1/10,37/100
Monster Fish,2009,,6.7/10,37/100
ABC World News,1953,,5.8/10,36/100
Dies Irae,2017,18+,4.7/10,36/100
O.J. Simpson: The Lost Confession?,2018,,6.7/10,36/100
Daisy of Love,2009,16+,4.5/10,36/100
Sydney Sailboat,2015,,8.0/10,36/100
Zero Punctuation,2014,,,36/100
LA Story,2014,16+,7.2/10,36/100
"Bad Habits, Holy Orders",2017,,7.0/10,36/100
Woman,2016,18+,7.3/10,36/100
Dinner with Dad,2017,,,36/100
A Little Late with Lilly Singh,2019,16+,1.5/10,36/100
The Posh Frock Shop,2018,,8.4/10,36/100
WWE En Español,2012,7+,8.1/10,36/100
CNBC Originals,2003,16+,,36/100
Hot Package,2013,18+,6.3/10,36/100
The Untold Story,2019,16+,7.2/10,36/100
With All Due Respect,2014,,8.2/10,36/100
Tulli,2011,,5.9/10,36/100
Dama y Obrero,2013,16+,7.7/10,36/100
Mickey's 90th Spectacular,2018,7+,7.1/10,36/100
Ellen's Greatest Night of Giveaways,2019,7+,4.5/10,35/100
The Grill Dads,2017,7+,7.6/10,35/100
